ProtocolID,Section,Question,ScoringOptions,Notes
EMD-001,A. Case Entry Questions,What's the location of the emergency?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-002,A. Case Entry Questions,Was the address / location confirmed / verified?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-003,A. Case Entry Questions,Was the 911 CAD Dump used to build the call ?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-004,A. Case Entry Questions,What’s the phone number you’re calling from?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-005,A. Case Entry Questions,Was the phone number documented in the entry?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-006,A. Case Entry Questions,"Okay, tell me exactly what happened.","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-007,A. Case Entry Questions,Fast Track used?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-008,A. Case Entry Questions,(If yes) Used Correctly,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-009,A. Case Entry Questions,(Not obvious) Are you with the patient now?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-010,A. Case Entry Questions,(Not obvious) How many (other) people are hurt/sick?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-011,A. Case Entry Questions,(Choking) Is s/he breathing or coughing at all?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-012,A. Case Entry Questions,How old is the patient?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-013,A. Case Entry Questions,"(Unsure) Tell me approximately, then.","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-014,A. Case Entry Questions,Is s/he awake (conscious)?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-015,A. Case Entry Questions,Is s/he breathing?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-016,A. Case Entry Questions,(Hasn't checked - 2nd party caller) You go check and tell me what you find.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-017,A. Case Entry Questions,Awake and breathing asks separately?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-018,A. Case Entry Questions,Were all questions asked in order?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-019,B. Chief Complaint,What was the Chief Complaint Determinant Card that was chosen?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-020,B. Chief Complaint,Do you feel this was the correct choice?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-021,B. Chief Complaint,"If you feel this was not the best choice, then what was?","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-022,Explain the reasoning why this was or was not the correct choice,Number of freelance questions,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-023,Explain the reasoning why this was or was not the correct choice,Number of freelance instructions given,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-024,Explain the reasoning why this was or was not the correct choice,Number of questions or instructions asked/given in inappropriate areas,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-025,Explain the reasoning why this was or was not the correct choice,Number of obvisous questions asked,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-026,Explain the reasoning why this was or was not the correct choice,Number of inappropriate clarifiers,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-027,C. Key Questions,Is s/he completely alert (responding appropriately)?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-028,C. Key Questions,(>50) Has s/he ever been diagnosed w/ aortic aneurysm?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-029,C. Key Questions,(No) Ask her/him to describe the pain.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-030,C. Key Questions,(F >12 M>50) Did s/he faint (pass out) or nearly faint?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-031,C. Key Questions,(F>45 M>35) Is her/his pain above the belly button (navel)?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-032,C. Key Questions,Were all Key Questions asked in order?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-033,C. Key Questions,(Snakebite) Where is the snake now?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-034,C. Key Questions,Is s/he completely alert (responding appropriately)?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-035,C. Key Questions,Does s/he have difficulity breathing or swallowing?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-036,C. Key Questions,(Yes and Alert) Does s/he have difficulity speaking?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-037,C. Key Questions,(Allegy) Has s/he ever had a severe allergic reaction before?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-038,C. Key Questions,(Yes) Does s/he have any specific injections or meds for this?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-039,C. Key Questions,(Yes) Have they been used?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-040,C. Key Questions,(No) Tell him/her to use them now?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-041,C. Key Questions,Were all Key Questions asked in order?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-042,C. Key Questions,What kind of animal is it?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-043,C. Key Questions,Where is the animal now?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-044,C. Key Questions,is there any SERIOUS bleeding (spurting or pouring)?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-045,C. Key Questions,Is s/he completely alert (respoinding appropriately)?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-046,C. Key Questions,What part of the body was injured/bitten?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-047,C. Key Questions,(Chest or Neck) Is s/he having any difficulity breathing?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-048,C. Key Questions,What kind of injuries does s/he have?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-049,C. Key Questions,When did this happen?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-050,C. Key Questions,Were all Key Questions asked in order?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-051,C. Key Questions,Is the assailant (attacker) still nearby?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-052,C. Key Questions,Were weapons involved or mentioned?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-053,C. Key Questions,Is there any SERIOUS bleeding (Spourting or pouring)?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-054,C. Key Questions,Is s/he completely alert (responding appropriately)?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-055,C. Key Questions,(Assault) What part of the body was injured?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-056,C. Key Questions,(Sexual assault) Does s/he have any other injuries?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-057,C. Key Questions,(Chest or Neck) Is s/he having any difficulity breathing?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-058,C. Key Questions,(NOT DANGEROUS body area) Is it obviously bent out of shape?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-059,C. Key Questions,When did this happen?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-060,C. Key Questions,Were all Key Questions asked in order?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-061,C. Key Questions,When did this start (happen)?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-062,C. Key Questions,What caused the back pain?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-063,C. Key Questions,Does s/he have difficulty breathing?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-064,C. Key Questions,(F>45 M>35) Does s/he also have chest pain or chest discomfort?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-065,C. Key Questions,Is s/he completley alert (responding appropriately)?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
